Hours,Lifetime Hourly Data: System power generated (kW),MW
0.5,-7.08862,0
1.5,-7.08862,0
2.5,-7.08862,0
3.5,-7.08862,0
4.5,-7.08862,0
5.5,488.751,0.488751
6.5,4157.87,4.15787
7.5,15704,15.704
8.5,29684.7,29.6847
9.5,40837.7,40.8377
10.5,48476.9,48.4769
11.5,54503.4,54.5034
12.5,54503.4,54.5034
13.5,54503.4,54.5034
14.5,49537.8,49.5378
15.5,41154.5,41.1545
16.5,28917.2,28.9172
17.5,15560.7,15.5607
18.5,5287.09,5.28709
19.5,413.194,0.413194
20.5,-7.08862,0
21.5,-7.08862,0
22.5,-7.08862,0
23.5,-7.08862,0
24.5,-7.08862,0
25.5,-7.08862,0
26.5,-7.08862,0
27.5,-7.08862,0
28.5,-7.08862,0
29.5,375.946,0.375946
30.5,4021.72,4.02172
31.5,15135.9,15.1359
32.5,29506.3,29.5063
33.5,38047,38.047
34.5,51056.8,51.0568
35.5,53762.7,53.7627
36.5,54503.4,54.5034
37.5,54503.4,54.5034
38.5,50741.2,50.7412
39.5,41223.7,41.2237
40.5,29675.2,29.6752
41.5,16082.8,16.0828
42.5,4915.58,4.91558
43.5,543.563,0.543563
44.5,-7.08862,0
45.5,-7.08862,0
46.5,-7.08862,0
47.5,-7.08862,0
48.5,-7.08862,0
49.5,-7.08862,0
50.5,-7.08862,0
51.5,-7.08862,0
52.5,-7.08862,0
53.5,245.771,0.245771
54.5,3450.03,3.45003
55.5,14381,14.381
56.5,26062.4,26.0624
57.5,34121.8,34.1218
58.5,39898.6,39.8986
59.5,45125,45.125
60.5,50676.2,50.6762
61.5,54503.4,54.5034
62.5,49625,49.625
63.5,44500.2,44.5002
64.5,27156.2,27.1562
65.5,8191.8,8.1918
66.5,5454.6,5.4546
67.5,181.325,0.181325
68.5,-7.08862,0
69.5,-7.08862,0
70.5,-7.08862,0
71.5,-7.08862,0
72.5,-7.08862,0
73.5,-7.08862,0
74.5,-7.08862,0
75.5,-7.08862,0
76.5,-7.08862,0
77.5,-7.08862,0
78.5,1296.1,1.2961
79.5,5222.68,5.22268
80.5,18943.7,18.9437
81.5,42483,42.483
82.5,52707.4,52.7074
83.5,54503.4,54.5034
84.5,45304,45.304
85.5,42016.5,42.0165
86.5,43755.6,43.7556
87.5,33501.8,33.5018
88.5,21718.7,21.7187
89.5,16680.6,16.6806
90.5,5221.11,5.22111
91.5,323.575,0.323575
92.5,-7.08862,0
93.5,-7.08862,0
94.5,-7.08862,0
